subid,agecat,Identification_1,Identification_2,Identification_3,Identification_4,attentioncheck,gender,nationality,religiosity,political,district,israelpk,palestpk,alternative,order,altblame,totisrael1,totisrael2,totpalest1,totpalest2,shiftisrael,shiftpalest,halevy,paltblame,ptotisrael1,ptotisrael2,ptotpalest1,ptotpalest2,phalevy
33,3,6,6,5,6,5,1,1,4,2,1,0,0,0,0,0,5,5,95,95,0,0,95,0,0.05,0.05,0.95,0.95,0.95
34,5,6,7,7,7,5,1,1,4,5,5,0,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
35,2,7,7,7,1,5,2,3,2,1,1,1,1,1,1,25,0,0,100,75,0,-25,100,0.25,0,0,1,0.75,1
36,2,5,6,6,5,5,1,3,4,2,6,1,1,1,1,5,10,5,90,90,-5,0,90,0.05,0.1,0.05,0.9,0.9,0.9
37,3,7,7,7,7,5,1,1,3,4,1,0,0,1,1,0,15,95,85,5,80,-80,85,0,0.15,0.95,0.85,0.05,0.85
38,4,4,4,3,2,5,2,3,3,4,6,0,0,0,0,0,40,50,60,50,-10,10,50,0,0.4,0.5,0.6,0.5,0.5
39,3,4,4,4,4,5,1,3,4,4,1,1,1,0,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
40,2,7,7,6,5,5,1,1,4,3,5,1,0,1,1,0,5,5,95,95,0,0,95,0,0.05,0.05,0.95,0.95,0.95
41,5,6,5,5,7,5,1,1,4,6,2,1,0,0,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
42,4,7,7,7,7,5,2,1,2,3,6,0,0,0,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
43,3,7,7,7,7,5,2,1,4,4,6,0,0,0,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
44,4,7,7,7,7,5,1,1,4,2,1,1,1,1,1,0,15,15,85,85,0,0,85,0,0.15,0.15,0.85,0.85,0.85
45,3,7,7,7,7,5,2,3,2,3,3,0,0,0,0,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
46,3,7,7,7,5,5,1,1,4,4,5,0,1,1,1,40,20,10,80,50,-10,-30,80,0.4,0.2,0.1,0.8,0.5,0.8
47,4,6,6,6,7,5,1,3,4,2,1,1,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
48,5,7,7,7,7,5,1,1,4,1,3,0,1,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
49,3,7,7,5,7,5,2,3,4,4,1,0,0,0,0,0,0,100,100,0,-100,100,0,0,0,1,1,0,0
50,2,2,3,2,1,5,2,3,4,4,4,0,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
51,4,7,7,6,5,5,1,1,3,2,1,1,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
52,3,7,7,4,1,5,1,1,4,4,5,1,0,0,1,5,5,5,95,90,0,-5,95,0.05,0.05,0.05,0.95,0.9,0.95
53,4,4,7,7,7,5,1,3,2,4,5,1,1,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
54,3,7,7,7,7,5,1,3,2,1,7,1,1,0,1,0,20,10,80,90,-10,10,80,0,0.2,0.1,0.8,0.9,0.8
55,2,7,7,7,7,5,1,1,4,2,6,1,0,0,1,0,0,1,100,99,1,-1,100,0,0,0.01,1,0.99,1
56,2,7,7,7,7,5,1,1,2,2,4,1,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
57,2,7,7,7,4,5,2,2,4,4,5,1,0,0,1,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
58,4,6,6,6,6,5,1,1,3,4,6,1,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
59,3,7,7,7,5,5,2,1,3,5,2,0,1,1,1,10,40,10,60,80,-30,20,60,0.1,0.4,0.1,0.6,0.8,0.6
60,2,4,6,5,3,5,1,1,4,2,4,1,0,0,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
61,4,7,7,7,7,5,1,1,4,3,6,1,1,1,1,9,1,1,99,90,0,-9,99,0.09,0.01,0.01,0.99,0.9,0.99
62,3,6,4,3,2,5,1,1,4,2,1,0,0,1,1,0,100,100,0,0,0,0,0,0,1,1,0,0,0
63,3,7,7,7,5,5,1,1,3,4,3,0,1,0,1,0,40,30,60,70,-10,10,60,0,0.4,0.3,0.6,0.7,0.6
64,2,7,5,5,7,5,1,1,3,4,1,0,1,0,0,0,60,90,40,10,-30,30,10,0,0.6,0.9,0.4,0.1,0.1
65,3,7,7,7,7,5,1,1,3,4,3,0,1,0,1,0,100,40,0,60,-60,60,0,0,1,0.4,0,0.6,0
66,3,5,5,5,4,5,2,2,3,6,6,0,1,0,0,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
67,3,7,7,7,7,5,1,3,3,3,5,1,1,1,1,0,5,5,95,95,0,0,95,0,0.05,0.05,0.95,0.95,0.95
68,3,7,7,6,7,5,1,2,2,5,6,0,1,0,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
69,2,7,7,7,4,5,1,1,3,2,4,1,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
70,3,6,7,3,7,5,2,1,4,2,6,1,1,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
71,4,7,7,7,7,5,1,3,4,2,3,1,1,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
72,2,7,7,5,7,5,2,3,4,4,1,1,1,1,0,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
73,4,7,7,7,7,5,1,3,4,1,4,1,1,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
74,3,1,1,1,5,5,2,3,4,4,4,1,1,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
75,3,4,5,4,5,5,1,3,3,4,6,1,1,1,0,40,20,30,40,70,-10,-30,70,0.4,0.2,0.3,0.4,0.7,0.7
76,2,7,7,7,5,5,1,3,4,2,6,1,1,0,0,0,50,40,50,60,10,-10,60,0,0.5,0.4,0.5,0.6,0.6
77,5,3,1,1,1,5,1,3,4,4,1,0,1,1,1,0,60,60,40,40,0,0,40,0,0.6,0.6,0.4,0.4,0.4
78,3,6,4,3,7,5,1,1,4,4,5,0,1,1,1,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
79,3,4,6,3,6,5,1,1,4,3,6,1,0,0,0,0,15,20,85,80,-5,5,80,0,0.15,0.2,0.85,0.8,0.8
80,4,7,7,7,7,5,1,1,4,2,4,1,1,1,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
81,3,7,7,7,4,5,1,1,3,4,1,1,1,1,1,100,35,0,65,0,-35,-65,65,1,0.35,0,0.65,0,0.65
82,3,6,5,4,5,5,1,1,4,3,3,1,0,1,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
83,3,2,2,2,2,5,1,3,4,4,2,1,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
84,3,7,7,1,7,5,2,3,1,4,3,0,1,0,0,10,80,90,10,10,-10,0,10,0.1,0.8,0.9,0.1,0.1,0.1
85,2,7,7,6,7,5,1,3,3,3,1,1,1,0,1,20,30,20,70,60,-10,-10,70,0.2,0.3,0.2,0.7,0.6,0.7
86,4,7,6,6,7,5,2,3,4,4,2,1,0,0,1,0,100,60,0,40,-40,40,0,0,1,0.6,0,0.4,0
87,5,5,5,5,5,5,2,1,4,4,5,0,0,1,1,15,45,30,55,55,-15,0,55,0.15,0.45,0.3,0.55,0.55,0.55
88,2,1,4,4,4,5,2,1,4,4,1,0,0,0,1,0,80,100,20,0,20,-20,20,0,0.8,1,0.2,0,0.2
89,2,7,6,6,7,5,1,3,3,4,1,1,0,0,1,5,10,5,90,90,-5,0,90,0.05,0.1,0.05,0.9,0.9,0.9
90,2,2,3,6,3,5,1,2,3,5,4,0,0,0,1,0,6,40,94,60,34,-34,94,0,0.06,0.4,0.94,0.6,0.94
91,2,6,5,5,5,5,1,1,1,3,6,1,1,0,0,25,50,50,25,50,0,-25,50,0.25,0.5,0.5,0.25,0.5,0.5
92,2,5,4,4,5,5,1,1,4,2,1,0,0,0,1,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
93,2,6,4,4,5,5,2,2,1,3,2,0,0,1,1,9,66,68,34,23,2,-11,34,0.09,0.66,0.68,0.34,0.23,0.34
94,4,3,2,4,2,5,2,1,4,3,6,1,1,0,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
95,2,3,5,5,5,5,2,1,4,7,3,0,0,0,0,0,100,80,0,20,20,-20,20,0,1,0.8,0,0.2,0.2
96,4,6,6,5,6,5,1,1,4,3,2,0,1,0,1,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
97,6,7,7,7,7,5,2,1,3,5,2,0,0,0,0,40,30,30,30,70,0,-40,70,0.4,0.3,0.3,0.3,0.7,0.7
98,3,7,7,7,7,5,1,3,4,1,5,1,1,0,1,45,10,10,90,45,0,-45,90,0.45,0.1,0.1,0.9,0.45,0.9
99,2,1,4,3,4,5,1,2,2,4,2,0,1,1,0,20,60,60,20,40,0,-20,40,0.2,0.6,0.6,0.2,0.4,0.4
100,2,7,7,7,7,5,1,3,3,1,4,0,1,0,1,0,75,0,25,100,-75,75,25,0,0.75,0,0.25,1,0.25
101,3,7,7,7,7,5,1,1,4,3,5,0,1,1,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
102,3,3,3,2,2,5,1,3,4,3,1,1,1,0,1,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
103,3,4,1,7,1,5,2,2,3,3,3,0,1,1,1,50,30,0,70,50,-30,-20,70,0.5,0.3,0,0.7,0.5,0.7
104,2,7,7,7,7,5,1,1,4,3,1,1,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
105,3,7,7,4,3,5,1,3,4,1,1,0,1,1,1,10,80,70,20,20,-10,0,20,0.1,0.8,0.7,0.2,0.2,0.2
106,3,6,6,6,6,5,1,1,4,2,6,1,1,1,1,20,0,0,100,80,0,-20,100,0.2,0,0,1,0.8,1
107,2,1,4,4,4,5,1,3,4,4,1,0,0,1,0,0,40,35,60,65,5,-5,65,0,0.4,0.35,0.6,0.65,0.65
108,3,5,5,5,5,5,2,3,3,5,5,1,0,1,0,20,0,0,80,100,0,-20,100,0.2,0,0,0.8,1,1
109,2,3,3,5,3,5,1,1,2,3,1,0,1,0,1,0,90,60,10,40,-30,30,10,0,0.9,0.6,0.1,0.4,0.1
110,2,4,4,4,5,5,1,1,2,4,1,0,1,1,1,0,70,90,30,10,20,-20,30,0,0.7,0.9,0.3,0.1,0.3
111,2,2,2,2,2,5,1,1,4,4,1,1,1,0,1,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
112,3,5,4,1,2,5,2,1,4,4,5,0,1,1,1,20,60,60,40,20,0,-20,40,0.2,0.6,0.6,0.4,0.2,0.4
113,5,7,6,6,7,5,1,3,4,4,3,1,1,0,0,15,40,45,45,55,-5,-10,55,0.15,0.4,0.45,0.45,0.55,0.55
114,2,2,3,4,6,5,1,1,3,4,1,0,1,0,1,0,80,70,20,30,-10,10,20,0,0.8,0.7,0.2,0.3,0.2
115,6,3,3,3,3,5,1,1,4,2,6,0,0,0,1,0,100,20,0,80,-80,80,0,0,1,0.2,0,0.8,0
116,3,7,7,7,7,5,1,1,3,5,1,1,0,1,1,10,20,10,80,80,-10,0,80,0.1,0.2,0.1,0.8,0.8,0.8
117,3,7,7,7,5,5,1,1,2,2,1,0,0,1,1,5,85,80,15,15,-5,0,15,0.05,0.85,0.8,0.15,0.15,0.15
118,4,5,5,3,2,5,1,1,4,4,6,1,0,1,0,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
119,2,1,1,1,7,5,1,3,3,1,1,1,1,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
120,5,7,7,6,7,5,1,2,4,4,4,1,0,1,1,0,30,20,70,80,-10,10,70,0,0.3,0.2,0.7,0.8,0.7
121,4,7,6,6,6,5,1,1,4,3,1,0,0,1,0,5,16,20,79,80,-4,-1,80,0.05,0.16,0.2,0.79,0.8,0.8
122,3,6,6,6,6,5,2,1,4,3,1,1,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
123,4,7,7,7,5,5,1,1,3,3,4,1,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
124,2,7,7,7,7,5,1,3,3,5,6,1,0,1,0,14,16,20,70,80,-4,-10,80,0.14,0.16,0.2,0.7,0.8,0.8
125,4,7,6,7,7,5,1,1,4,4,1,1,1,1,0,20,10,20,70,80,-10,-10,80,0.2,0.1,0.2,0.7,0.8,0.8
126,6,7,7,5,4,5,1,1,4,2,1,1,0,0,1,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
127,3,7,7,7,7,5,2,3,4,4,6,1,0,1,1,0,19,19,81,81,0,0,81,0,0.19,0.19,0.81,0.81,0.81
128,4,3,3,3,3,5,2,1,3,5,5,1,0,0,0,0,25,10,75,90,15,-15,90,0,0.25,0.1,0.75,0.9,0.9
129,5,7,7,7,7,5,1,1,3,2,6,1,1,1,1,10,5,5,95,85,0,-10,95,0.1,0.05,0.05,0.95,0.85,0.95
130,4,5,4,4,6,5,2,1,4,6,1,1,1,0,1,0,0,80,100,20,80,-80,100,0,0,0.8,1,0.2,1
131,4,6,5,3,6,5,2,1,4,6,6,1,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
132,3,5,6,4,7,5,1,2,4,6,6,0,1,0,0,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
133,4,7,7,7,7,5,1,1,3,3,1,0,1,0,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
134,2,4,2,4,4,5,1,1,3,5,2,1,1,0,1,0,70,60,30,40,-10,10,30,0,0.7,0.6,0.3,0.4,0.3
135,5,5,6,5,6,5,1,3,4,2,2,0,0,0,0,0,25,25,75,75,0,0,75,0,0.25,0.25,0.75,0.75,0.75
136,2,4,4,7,1,5,1,3,2,2,2,0,0,0,1,5,59,50,41,45,-9,4,41,0.05,0.59,0.5,0.41,0.45,0.41
137,5,6,6,4,6,5,1,3,4,4,6,0,1,0,1,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
138,5,7,7,7,7,5,1,3,4,4,1,1,0,1,0,1,9,10,90,90,-1,0,90,0.01,0.09,0.1,0.9,0.9,0.9
139,2,7,7,7,7,5,1,3,4,1,2,0,0,0,0,0,85,100,15,0,-15,15,0,0,0.85,1,0.15,0,0
140,2,7,7,7,7,5,1,3,2,1,3,0,0,0,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
141,2,7,3,2,4,5,1,3,4,4,5,0,0,1,0,0,0,10,100,90,-10,10,90,0,0,0.1,1,0.9,0.9
142,4,7,4,2,6,5,1,3,3,1,1,0,1,0,1,0,64,64,36,36,0,0,36,0,0.64,0.64,0.36,0.36,0.36
143,2,7,6,6,7,5,1,3,2,1,6,0,1,0,1,0,60,0,40,100,-60,60,40,0,0.6,0,0.4,1,0.4
144,4,6,7,6,3,5,2,3,2,3,3,1,1,0,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
145,5,7,7,7,7,5,2,1,4,6,2,0,0,0,0,30,0,0,70,100,0,-30,100,0.3,0,0,0.7,1,1
146,4,5,7,7,6,5,2,1,3,5,2,0,1,0,0,60,30,30,10,70,0,-60,70,0.6,0.3,0.3,0.1,0.7,0.7
147,5,6,5,4,6,5,1,3,4,4,1,0,0,0,0,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
148,2,2,3,1,2,5,1,2,2,7,6,1,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
149,6,7,7,6,7,5,1,3,4,4,2,0,0,0,0,0,22,20,78,80,2,-2,80,0,0.22,0.2,0.78,0.8,0.8
150,6,5,4,3,2,5,2,1,4,6,1,0,1,1,1,0,90,90,10,10,0,0,10,0,0.9,0.9,0.1,0.1,0.1
151,3,7,7,7,7,5,2,1,3,2,3,0,0,0,1,0,35,10,65,90,-25,25,65,0,0.35,0.1,0.65,0.9,0.65
152,4,7,7,7,7,5,2,1,4,1,2,1,0,0,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
153,2,2,3,5,4,5,1,2,3,6,2,1,0,0,1,0,40,30,60,70,-10,10,60,0,0.4,0.3,0.6,0.7,0.6
154,2,7,7,7,7,5,2,1,3,1,1,1,1,1,1,0,2,10,98,90,8,-8,98,0,0.02,0.1,0.98,0.9,0.98
155,3,7,2,2,1,5,1,3,1,2,6,1,0,1,1,15,0,0,100,85,0,-15,100,0.15,0,0,1,0.85,1
156,4,7,6,6,5,5,1,1,3,4,6,0,1,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
157,4,5,6,7,7,5,2,1,4,2,4,1,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
158,2,7,7,7,7,5,1,1,4,2,5,0,1,1,0,20,20,20,60,80,0,-20,80,0.2,0.2,0.2,0.6,0.8,0.8
159,3,7,7,7,7,5,1,3,3,2,6,0,0,1,1,0,100,0,0,100,-100,100,0,0,1,0,0,1,0
160,2,2,3,4,3,5,1,1,3,4,3,1,0,1,1,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
161,2,2,4,5,5,5,1,2,3,4,3,0,1,0,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
162,4,7,7,6,6,5,1,3,4,2,5,0,1,0,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
163,3,6,5,3,7,5,1,1,4,3,1,1,1,1,0,10,20,20,70,80,0,-10,80,0.1,0.2,0.2,0.7,0.8,0.8
164,3,7,7,7,7,5,1,1,3,4,5,0,1,0,0,0,90,50,10,50,40,-40,50,0,0.9,0.5,0.1,0.5,0.5
165,5,6,7,7,7,5,2,1,3,4,6,0,1,0,1,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
166,4,7,7,7,7,5,2,3,4,1,5,0,1,1,0,50,30,60,20,40,-30,-20,40,0.5,0.3,0.6,0.2,0.4,0.4
167,2,7,7,7,7,5,2,1,4,4,4,0,1,1,1,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
168,3,7,7,6,7,5,1,1,4,2,1,0,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
169,6,7,7,7,7,5,1,3,3,7,1,0,1,1,0,7,45,49,48,51,-4,-3,51,0.07,0.45,0.49,0.48,0.51,0.51
170,3,4,5,5,4,5,1,3,4,4,2,1,0,1,1,4,4,2,96,94,-2,-2,96,0.04,0.04,0.02,0.96,0.94,0.96
171,2,7,7,7,7,5,1,3,3,4,6,0,1,0,1,30,80,50,20,20,-30,0,20,0.3,0.8,0.5,0.2,0.2,0.2
172,2,7,5,4,3,5,1,1,3,2,2,0,1,0,0,0,0,100,100,0,-100,100,0,0,0,1,1,0,0
173,2,7,7,7,7,5,1,1,4,3,2,0,0,1,0,0,100,5,0,95,95,-95,95,0,1,0.05,0,0.95,0.95
174,2,3,3,2,5,5,1,1,2,4,4,0,1,1,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
175,4,6,6,6,6,5,1,3,2,1,7,0,1,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
176,2,4,4,3,3,5,1,1,2,6,2,0,1,1,1,0,100,100,0,0,0,0,0,0,1,1,0,0,0
177,4,6,5,5,5,5,1,1,4,2,5,1,0,1,0,0,20,10,80,90,10,-10,90,0,0.2,0.1,0.8,0.9,0.9
178,5,1,1,1,1,5,1,1,4,7,5,1,1,1,0,0,60,50,40,50,10,-10,50,0,0.6,0.5,0.4,0.5,0.5
179,4,1,1,1,7,5,1,3,4,7,6,0,0,1,1,0,100,100,0,0,0,0,0,0,1,1,0,0,0
180,4,4,4,3,4,5,1,3,4,4,2,1,0,0,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
181,2,7,7,7,3,5,1,1,3,4,2,0,0,1,1,50,20,20,80,30,0,-50,80,0.5,0.2,0.2,0.8,0.3,0.8
182,4,6,6,6,6,5,1,1,3,2,6,0,1,1,1,0,35,30,65,70,-5,5,65,0,0.35,0.3,0.65,0.7,0.65
183,2,4,4,4,5,5,2,1,3,5,2,1,0,0,0,0,93,80,7,20,13,-13,20,0,0.93,0.8,0.07,0.2,0.2
184,4,7,7,7,7,5,1,3,4,4,6,1,1,1,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
185,3,7,7,7,7,5,1,2,4,4,4,1,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
186,4,6,6,6,7,5,1,1,4,4,1,1,0,0,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
187,2,4,5,5,3,5,2,1,3,1,1,0,1,0,1,0,20,0,80,100,-20,20,80,0,0.2,0,0.8,1,0.8
188,2,7,7,7,7,5,2,1,3,1,1,0,0,1,0,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
189,5,6,5,6,6,5,2,1,4,4,3,0,1,0,1,26,75,40,25,34,-35,9,25,0.26,0.75,0.4,0.25,0.34,0.25
190,3,7,7,4,6,5,1,3,4,4,1,1,1,0,0,10,35,50,55,50,-15,5,50,0.1,0.35,0.5,0.55,0.5,0.5
191,2,7,7,7,7,5,1,1,4,1,1,0,0,1,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
192,2,2,4,7,5,5,1,1,4,4,3,1,1,1,1,70,20,10,80,20,-10,-60,80,0.7,0.2,0.1,0.8,0.2,0.8
193,3,4,3,1,1,5,1,2,4,4,6,0,1,1,1,0,70,80,30,20,10,-10,30,0,0.7,0.8,0.3,0.2,0.3
194,2,7,7,7,7,5,1,3,2,1,1,0,1,1,1,0,30,70,70,30,40,-40,70,0,0.3,0.7,0.7,0.3,0.7
195,2,7,7,7,7,5,1,3,3,1,1,0,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
196,2,3,2,2,7,5,1,3,3,4,2,0,0,1,1,0,60,60,40,40,0,0,40,0,0.6,0.6,0.4,0.4,0.4
197,4,7,7,7,7,5,1,1,2,1,6,0,1,1,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
198,2,7,1,1,1,5,1,1,4,4,1,0,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
199,4,3,4,4,5,5,1,3,4,4,1,1,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
200,4,6,6,5,6,5,1,1,4,3,1,1,1,1,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
